mot1,mot2,relation,reason
evier,terre r_object_matiere,r_object_matière,all_zero_vector_possible_api_failure
reticulum,cellule r_holo,r_holo,all_zero_vector_possible_api_failure
ecriture,l auteur r_processus agent,r_processusagent,all_zero_vector_possible_api_failure
enrobage,surface r_processus patient,r_processuspatient,all_zero_vector_possible_api_failure
cours,langage de programmation r_topic,r_topic,all_zero_vector_possible_api_failure
trepied,videaste r_processus instr,r_processusinstr-1,all_zero_vector_possible_api_failure
chaussure,proprietaire r_own,r_own-1,all_zero_vector_possible_api_failure
canne,peche r_processus instr,r_processusinstr-1,all_zero_vector_possible_api_failure
or,ghana r_lieu_origine,r_lieu_origine,all_zero_vector_possible_api_failure
camarade,eleve r_social_tie,r_social_tie,all_zero_vector_possible_api_failure
thylakoide,chloroplaste r_holo,r_holo,all_zero_vector_possible_api_failure
ongle,beaute r_holo,r_holo,all_zero_vector_possible_api_failure
enrobage,surface r_processus patient,r_processuspatient,all_zero_vector_possible_api_failure
cours,langage de programmation r_topic,r_topic,all_zero_vector_possible_api_failure
trepied,videaste r_processus instr,r_processusinstr-1,all_zero_vector_possible_api_failure
chaussure,proprietaire r_own,r_own-1,all_zero_vector_possible_api_failure
canne,peche r_processus instr,r_processusinstr-1,all_zero_vector_possible_api_failure
or,ghana r_lieu_origine,r_lieu_origine,all_zero_vector_possible_api_failure
camarade,eleve r_social_tie,r_social_tie,all_zero_vector_possible_api_failure
thylakoide,chloroplaste r_holo,r_holo,all_zero_vector_possible_api_failure
ongle,beaute r_holo,r_holo,all_zero_vector_possible_api_failure
dangerosite,substance r_has_property,r_has_property,all_zero_vector_possible_api_failure
fermenteur,sartorius r_product_of,r_product_of,all_zero_vector_possible_api_failure
