dégât de tempête | r_has_causatif
brûlure de soleil | r_has_causatif
cicatrice de coupure | r_has_causatif
inondation de pluie | r_has_causatif
panne de surtension | r_has_causatif
tache de graisse | r_has_causatif
carie de sucre | r_has_causatif
rouille de condensation | r_has_causatif
fumée de combustion | r_has_causatif
intoxication de champignon | r_has_causatif
fièvre de grippe | r_has_causatif
écorchure de chute | r_has_causatif
fissure de gel | r_has_causatif
retard de grève | r_has_causatif
casse de surcharge | r_has_causatif
usure de frottement | r_has_causatif
odeur de brûlé | r_has_causatif
crampe de déshydratation | r_has_causatif
allergie de pollen | r_has_causatif
panne de court-circuit | r_has_causatif
érosion de vent | r_has_causatif
glissement de pluie | r_has_causatif
vertige de fatigue | r_has_causatif
nausée de mal de mer | r_has_causatif
migraine de stress | r_has_causatif
insomnie de caféine | r_has_causatif
irritation de savon | r_has_causatif
déformation de chaleur | r_has_causatif
corrosion de sel | r_has_causatif
vibration de moteur | r_has_causatif
blessure de choc | r_has_causatif
fracture de collision | r_has_causatif
décoloration de soleil | r_has_causatif
contamination de bactérie | r_has_causatif
infection de virus | r_has_causatif
asphyxie de fumée | r_has_causatif
empoisonnement de plomb | r_has_causatif
inflammation de frottement | r_has_causatif
obstruction de calcaire | r_has_causatif
rupture de pression | r_has_causatif
éclatement de gel | r_has_causatif
déchirure de traction | r_has_causatif
bosselure de grêle | r_has_causatif
rayure de sable | r_has_causatif
ternissement de humidité | r_has_causatif
jaunissement de nicotine | r_has_causatif
noircissement de fumée | r_has_causatif
gonflement de chaleur | r_has_causatif
rétrécissement de lavage | r_has_causatif
durcissement de calcaire | r_has_causatif
ramollissement de humidité | r_has_causatif
pourriture de eau | r_has_causatif
moisissure de condensation | r_has_causatif
oxydation de air | r_has_causatif
cristallisation de gel | r_has_causatif
coagulation de chaleur | r_has_causatif
fermentation de levure | r_has_causatif
putréfaction de bactérie | r_has_causatif
carbonisation de feu | r_has_causatif
calcination de flamme | r_has_causatif
vitrification de chaleur | r_has_causatif
désagrégation de gel | r_has_causatif
effritement de sécheresse | r_has_causatif
délitement de pluie | r_has_causatif
affaissement de sécheresse | r_has_causatif
éboulement de pluie | r_has_causatif
effondrement de termite | r_has_causatif
écroulement de séisme | r_has_causatif
engelure de froid | r_has_causatif
gerçure de froid | r_has_causatif
crevasse de sécheresse | r_has_causatif
cloque de brûlure | r_has_causatif
ampoule de frottement | r_has_causatif
hématome de coup | r_has_causatif
contusion de choc | r_has_causatif
luxation de torsion | r_has_causatif
entorse de mouvement | r_has_causatif
déchirement de effort | r_has_causatif
élongation de étirement | r_has_causatif
courbature de effort | r_has_causatif
ankylose de immobilité | r_has_causatif
atrophie de inactivité | r_has_causatif
hypertrophie de sollicitation | r_has_causatif
dégénérescence de vieillissement | r_has_causatif
nécrose de gangrène | r_has_causatif
ulcération de acide | r_has_causatif
perforation de corrosion | r_has_causatif
hémorragie de rupture | r_has_causatif
thrombose de stase | r_has_causatif
embolie de caillot | r_has_causatif
œdème de rétention | r_has_causatif
congestion de inflammation | r_has_causatif
obstruction de thrombus | r_has_causatif
sténose de calcification | r_has_causatif
dilatation de pression | r_has_causatif
anévrisme de hypertension | r_has_causatif
prolapsus de relâchement | r_has_causatif
hernie de effort | r_has_causatif
éventration de déchirure | r_has_causatif
déhiscence de infection | r_has_causatif
suppuration de bactérie | r_has_causatif
(colmatage de filtre) de poussière | r_has_causatif
(intoxication de pesticide) de verger | r_has_causatif
(irritation de peau) de détergent | r_has_causatif
(fissure de métal) de fatigue | r_has_causatif
(rupture de canalisation) de gel | r_has_causatif
(corrosion de tuyau) de acide | r_has_causatif
(obstruction de artère) de cholestérol | r_has_causatif
(inflammation de gorge) de virus | r_has_causatif
(usure de pneu) de freinage | r_has_causatif
(déformation de rail) de chaleur | r_has_causatif
(panne de moteur) de surchauffe | r_has_causatif
(blocage de serrure) de rouille | r_has_causatif
(éclatement de conduite) de pression | r_has_causatif
(casse de courroie) de tension | r_has_causatif
(fuite de joint) de usure | r_has_causatif
(décollement de peinture) de humidité | r_has_causatif
(jaunissement de papier) de lumière | r_has_causatif
(noircissement de mur) de fumée | r_has_causatif
(effritement de pierre) de gel | r_has_causatif
(pourrissement de bois) de eau | r_has_causatif
(oxydation de fer) de oxygène | r_has_causatif
(contamination de eau) de nitrate | r_has_causatif
(infection de plaie) de bactérie | r_has_causatif
(nécrose de tissu) de gangrène | r_has_causatif
(calcification de valve) de calcium | r_has_causatif
(thrombose de veine) de stase | r_has_causatif
(embolie de poumon) de caillot | r_has_causatif
(perforation de estomac) de ulcère | r_has_causatif
(hémorragie de cerveau) de anévrisme | r_has_causatif
(paralysie de membre) de compression | r_has_causatif
(atrophie de muscle) de immobilisation | r_has_causatif
(dégénérescence de cartilage) de arthrose | r_has_causatif
(destruction de forêt) de incendie | r_has_causatif
(érosion de sol) de ruissellement | r_has_causatif
(affaissement de terrain) de sécheresse | r_has_causatif
(glissement de talus) de pluie | r_has_causatif
(éboulement de falaise) de tempête | r_has_causatif
(effondrement de toit) de neige | r_has_causatif
(explosion de chaudière) de surpression | r_has_causatif
(implosion de réservoir) de vide | r_has_causatif
(rupture de barrage) de crue | r_has_causatif
(déversement de pétrole) de rupture | r_has_causatif
(contamination de sol) de hydrocarbure | r_has_causatif
(pollution de rivière) de pesticide | r_has_causatif
(intoxication de bétail) de plomb | r_has_causatif
(empoisonnement de chat) de antigel | r_has_causatif
(asphyxie de poisson) de algue | r_has_causatif
(mort de abeille) de insecticide | r_has_causatif
(dépérissement de arbre) de pollution | r_has_causatif
(brunissement de feuille) de sécheresse | r_has_causatif
(flétrissement de fleur) de chaleur | r_has_causatif
(dessèchement de plante) de vent | r_has_causatif
(brûlure de gazon) de engrais | r_has_causatif
(jaunissement de pelouse) de chlorose | r_has_causatif
(tache de fruit) de champignon | r_has_causatif
(pourriture de tomate) de mildiou | r_has_causatif
(fendillement de cerise) de pluie | r_has_causatif
(éclatement de raisin) de grêle | r_has_causatif
(décoloration de textile) de soleil | r_has_causatif
(rétrécissement de laine) de lavage | r_has_causatif
(déformation de plastique) de chaleur | r_has_causatif
(craquelure de cuir) de sécheresse | r_has_causatif
(ternissement de argent) de soufre | r_has_causatif
(piqûre de bronze) de chlorure | r_has_causatif
(altération de tableau) de lumière | r_has_causatif
(dégradation de papyrus) de acidité | r_has_causatif
(délitage de schiste) de gel | r_has_causatif
(désagrégation de granite) de érosion | r_has_causatif
(pulvérisation de calcaire) de acide | r_has_causatif
(dissolution de sel) de eau | r_has_causatif
(liquéfaction de sol) de séisme | r_has_causatif
(vitrification de sable) de foudre | r_has_causatif
(fusion de câble) de court-circuit | r_has_causatif
(carbonisation de pain) de chaleur | r_has_causatif
(caramélisation de sucre) de température | r_has_causatif
(coagulation de lait) de acide | r_has_causatif
(caillage de sang) de enzyme | r_has_causatif
(durcissement de artère) de cholestérol | r_has_causatif
(ramollissement de os) de carence | r_has_causatif
(fragilisation de ongle) de manque | r_has_causatif
(cassure de cheveu) de décoloration | r_has_causatif
(chute de poil) de stress | r_has_causatif
(perte de dent) de carie | r_has_causatif
(déchaussement de gencive) de tartre | r_has_causatif
(saignement de nez) de sécheresse | r_has_causatif
(irritation de œil) de poussière | r_has_causatif
(rougeur de peau) de allergie | r_has_causatif
(gonflement de cheville) de entorse | r_has_causatif
(boursouflure de peinture) de humidité | r_has_causatif
(cloquage de enduit) de infiltration | r_has_causatif
(soulèvement de parquet) de eau | r_has_causatif
(gondolement de porte) de humidité | r_has_causatif
(gauchissement de planche) de séchage | r_has_causatif
(vrillage de poutre) de tension | r_has_causatif
(flambement de colonne) de charge | r_has_causatif
(cisaillement de rivet) de vibration | r_has_causatif
dégât de la tempête | r_has_causatif
brûlure de la cigarette | r_has_causatif
cicatrice de la coupure | r_has_causatif
inondation de la pluie | r_has_causatif
panne de la surtension | r_has_causatif
tache de la graisse | r_has_causatif
carie de la consommation | r_has_causatif
rouille de la condensation | r_has_causatif
fumée de la combustion | r_has_causatif
intoxication de la nourriture | r_has_causatif
fièvre de la grippe | r_has_causatif
écorchure de la chute | r_has_causatif
fissure de la chaleur | r_has_causatif
retard de la panne | r_has_causatif
casse de la surcharge | r_has_causatif
usure de la friction | r_has_causatif
odeur de la moisissure | r_has_causatif
crampe de la déshydratation | r_has_causatif
allergie de la poussière | r_has_causatif
panne de la batterie | r_has_causatif
cendre de la combustion | r_has_causatif
érosion de la vague | r_has_causatif
mousse de la bière | r_has_causatif
suie de la cheminée | r_has_causatif
éclat de la vitre | r_has_causatif
tremblement de la peur | r_has_causatif
courbature de la marche | r_has_causatif
évanouissement de la chaleur | r_has_causatif
éclaboussure de la boue | r_has_causatif
érosion de la glace | r_has_causatif
fissure de la sécheresse | r_has_causatif
écho de la voix | r_has_causatif
éblouissement de la lumière | r_has_causatif
éruption de la pression | r_has_causatif
éclat de la pierre | r_has_causatif
épuisement de la course | r_has_causatif
égratignure de la branche | r_has_causatif
éboulement de la pluie | r_has_causatif
éclatement de la chaleur | r_has_causatif
érosion du vent | r_has_causatif
évanouissement de la fatigue | r_has_causatif
éclaboussure de la peinture | r_has_causatif
éclat de l'explosion | r_has_causatif
épuisement de la maladie | r_has_causatif
égratignure de la griffe | r_has_causatif
éboulement de la neige | r_has_causatif
éclatement de la pression | r_has_causatif
érosion de la pollution | r_has_causatif
évanouissement de la faim | r_has_causatif
éclaboussure de la vague | r_has_causatif
éclat de la foudre | r_has_causatif
épuisement de la soif | r_has_causatif
égratignure de la pierre | r_has_causatif
éboulement de la roche | r_has_causatif
éclatement de la tension | r_has_causatif
érosion de la rivière | r_has_causatif
évanouissement de la surprise | r_has_causatif
éclaboussure de la boue | r_has_causatif
éclat de la vitre | r_has_causatif
épuisement de la fatigue | r_has_causatif
égratignure de la branche | r_has_causatif
éboulement de la pluie | r_has_causatif
éclatement de la chaleur | r_has_causatif
érosion du vent | r_has_causatif
évanouissement de la peur | r_has_causatif
éclaboussure de la peinture | r_has_causatif
éclat de l'explosion | r_has_causatif
épuisement de la maladie | r_has_causatif
égratignure de la griffe | r_has_causatif
éboulement de la neige | r_has_causatif
éclatement de la pression | r_has_causatif
érosion de la pollution | r_has_causatif
évanouissement de la faim | r_has_causatif
éclaboussure de la vague | r_has_causatif
éclat de la foudre | r_has_causatif
épuisement de la soif | r_has_causatif
égratignure de la pierre | r_has_causatif
éboulement de la roche | r_has_causatif
éclatement de la tension | r_has_causatif
érosion de la rivière | r_has_causatif
évanouissement de la surprise | r_has_causatif
éclaboussure de la boue | r_has_causatif
éclat de la vitre | r_has_causatif
épuisement de la fatigue | r_has_causatif
égratignure de la branche | r_has_causatif
éboulement de la pluie | r_has_causatif
éclatement de la chaleur | r_has_causatif
érosion du vent | r_has_causatif
évanouissement de la peur | r_has_causatif
éclaboussure de la peinture | r_has_causatif
éclat de l'explosion | r_has_causatif
épuisement de la maladie | r_has_causatif
égratignure de la griffe | r_has_causatif
éboulement de la neige | r_has_causatif
éclatement de la pression | r_has_causatif
érosion de la pollution | r_has_causatif
évanouissement de la faim | r_has_causatif
éclaboussure de la vague | r_has_causatif
