branche de arbre | r_holo
racine de plante | r_holo
feuille de chêne | r_holo
fleur de jardin | r_holo
pétale de rose | r_holo
tige de fleur | r_holo
tronc de chêne | r_holo
écorce de bouleau | r_holo
sève de érable | r_holo
fruit de pommier | r_holo
graine de tournesol | r_holo
bulbe de tulipe | r_holo
épine de cactus | r_holo
mousse de forêt | r_holo
lichen de rocher | r_holo
champignon de bois | r_holo
algue de mer | r_holo
corail de récif | r_holo
anémone de mer | r_holo
éponge de océan | r_holo
tête de corps | r_holo
cou de humain | r_holo
épaule de squelette | r_holo
bras de personne | r_holo
avant-bras de membre | r_holo
coude de articulation | r_holo
poignet de main | r_holo
main de bras | r_holo
doigt de main | r_holo
ongle de doigt | r_holo
poitrine de torse | r_holo
ventre de abdomen | r_holo
dos de corps | r_holo
hanche de bassin | r_holo
jambe de corps | r_holo
cuisse de membre | r_holo
genou de jambe | r_holo
mollet de membre | r_holo
cheville de pied | r_holo
pied de jambe | r_holo
orteil de pied | r_holo
cerveau de crâne | r_holo
œil de visage | r_holo
oreille de tête | r_holo
nez de face | r_holo
bouche de visage | r_holo
dent de mâchoire | r_holo
langue de bouche | r_holo
gorge de cou | r_holo
cœur de poitrine | r_holo
poumon de thorax | r_holo
estomac de abdomen | r_holo
foie de corps | r_holo
rein de système | r_holo
peau de corps | r_holo
os de squelette | r_holo
muscle de membre | r_holo
nerf de système | r_holo
veine de circulation | r_holo
artère de cœur | r_holo
sang de organisme | r_holo
cellule de tissu | r_holo
chromosome de noyau | r_holo
ADN de cellule | r_holo
gène de chromosome | r_holo
protéine de cellule | r_holo
enzyme de métabolisme | r_holo
hormone de système | r_holo
neurone de cerveau | r_holo
synapse de neurone | r_holo
axone de cellule | r_holo
dendrite de neurone | r_holo
rétine de œil | r_holo
cornée de globe | r_holo
iris de œil | r_holo
pupille de iris | r_holo
cristallin de œil | r_holo
tympan de oreille | r_holo
cochlée de oreille | r_holo
vestibule de oreille | r_holo
cordes vocales de larynx | r_holo
trachée de cou | r_holo
bronche de poumon | r_holo
alvéole de poumon | r_holo
diaphragme de thorax | r_holo
côtes de cage | r_holo
sternum de thorax | r_holo
vertèbre de colonne | r_holo
disque de vertèbre | r_holo
moelle de os | r_holo
cartilage de articulation | r_holo
tendon de muscle | r_holo
ligament de articulation | r_holo
capsule de articulation | r_holo
membrane de cellule | r_holo
cytoplasme de cellule | r_holo
noyau de cellule | r_holo
mitochondrie de cellule | r_holo
ribosome de cellule | r_holo
appareil de Golgi de cellule | r_holo
réticulum de cellule | r_holo
lysosome de cellule | r_holo
vacuole de cellule | r_holo
chloroplaste de cellule | r_holo
paroi de cellule | r_holo
flagelle de bactérie | r_holo
cil de cellule | r_holo
poil de peau | r_holo
cheveu de tête | r_holo
ongle de doigt | r_holo
plume de oiseau | r_holo
écaille de poisson | r_holo
carapace de tortue | r_holo
coquille de escargot | r_holo
corne de rhinocéros | r_holo
sabot de cheval | r_holo
griffe de lion | r_holo
crocs de serpent | r_holo
défense de éléphant | r_holo
antenne de insecte | r_holo
aile de papillon | r_holo
patte de araignée | r_holo
abdomen de insecte | r_holo
thorax de insecte | r_holo
tête de insecte | r_holo
mandibule de fourmi | r_holo
dard de guêpe | r_holo
trompe de papillon | r_holo
œil de insecte | r_holo
aile de oiseau | r_holo
bec de canard | r_holo
serre de aigle | r_holo
plume de paon | r_holo
crête de coq | r_holo
barbillon de poisson | r_holo
nageoire de requin | r_holo
ouïe de poisson | r_holo
branchies de poisson | r_holo
écailles de serpent | r_holo
crochet de serpent | r_holo
ventouse de pieuvre | r_holo
tentacule de méduse | r_holo
coquille de moule | r_holo
perle de huître | r_holo
carapace de crabe | r_holo
pince de homard | r_holo
antenne de crevette | r_holo
pattes de scorpion | r_holo
queue de scorpion | r_holo
dard de scorpion | r_holo
toile de araignée | r_holo
fil de soie | r_holo
cocon de ver | r_holo
chrysalide de papillon | r_holo
larve de moustique | r_holo
nymphe de insecte | r_holo
œuf de poule | r_holo
coquille de œuf | r_holo
jaune de œuf | r_holo
blanc de œuf | r_holo
chalaze de œuf | r_holo
germes de graine | r_holo
cotylédon de plante | r_holo
radicule de graine | r_holo
tégument de graine | r_holo
albumen de graine | r_holo
embryon de graine | r_holo
bourgeon de arbre | r_holo
méristème de plante | r_holo
phloème de plante | r_holo
xylème de plante | r_holo
cambium de arbre | r_holo
épiderme de feuille | r_holo
stomate de feuille | r_holo
chlorophylle de cellule | r_holo
parenchyme de tissu | r_holo
vaisseau de plante | r_holo
poil de racine | r_holo
nodule de racine | r_holo
rhizome de plante | r_holo
stolon de fraisier | r_holo
bulbe de plante | r_holo
tubercule de pomme de terre | r_holo
rhizoïde de mousse | r_holo
thalle de algue | r_holo
spore de champignon | r_holo
mycélium de champignon | r_holo
chapeau de champignon | r_holo
lamelle de champignon | r_holo
pied de champignon | r_holo
anneau de champignon | r_holo
volve de champignon | r_holo
branche de la forêt | r_holo
racine de la plante | r_holo
feuille de la vigne | r_holo
fleur de la prairie | r_holo
pétale de la fleur | r_holo
tige de la plante | r_holo
tronc de la forêt | r_holo
écorce de l'arbre | r_holo
sève de l'érable | r_holo
fruit de la terre | r_holo
graine de la vie | r_holo
bulbe de la jonquille | r_holo
épine de la rose | r_holo
mousse de la pierre | r_holo
lichen de la forêt | r_holo
champignon de la souche | r_holo
algue de la rivière | r_holo
corail de la mer | r_holo
anémone de l'océan | r_holo
éponge de la mer | r_holo
tête de la statue | r_holo
cou de la girafe | r_holo
épaule de l'athlète | r_holo
bras de la victoire | r_holo
avant-bras de la force | r_holo
coude de l'articulation | r_holo
poignet de la main | r_holo
main de l'artiste | r_holo
doigt de la main | r_holo
ongle de la beauté | r_holo
poitrine de la femme | r_holo
ventre de la grossesse | r_holo
dos de la main | r_holo
hanche de la danse | r_holo
jambe de la course | r_holo
cuisse de la puissance | r_holo
genou de la marche | r_holo
mollet de la jambe | r_holo
cheville de la souplesse | r_holo
pied de la danse | r_holo
orteil de la marche | r_holo
cerveau de l'intelligence | r_holo
œil de la tempête | r_holo
oreille de la musique | r_holo
nez de la respiration | r_holo
bouche de la vérité | r_holo
dent de la sagesse | r_holo
langue de la parole | r_holo
gorge de la voix | r_holo
cœur de l'émotion | r_holo
poumon de la respiration | r_holo
estomac de la digestion | r_holo
foie de la détoxication | r_holo
rein de la filtration | r_holo
peau de la protection | r_holo
os de la structure | r_holo
muscle de la force | r_holo
nerf de la sensation | r_holo
veine de la circulation | r_holo
artère de la vie | r_holo
sang de l'organisme | r_holo
cellule de la vie | r_holo
chromosome de l'hérédité | r_holo
ADN de la cellule | r_holo
gène de l'hérédité | r_holo
protéine de la structure | r_holo
enzyme de la réaction | r_holo
hormone de la régulation | r_holo
neurone de la pensée | r_holo
synapse de la communication | r_holo
axone de la transmission | r_holo
dendrite de la réception | r_holo
rétine de la vision | r_holo
cornée de la protection | r_holo
iris de la couleur | r_holo
pupille de la lumière | r_holo
cristallin de la focalisation | r_holo
tympan de l'audition | r_holo
cochlée de l'audition | r_holo
vestibule de l'équilibre | r_holo
cordes vocales de la voix | r_holo
trachée de la respiration | r_holo
bronche de l'arbre | r_holo
alvéole de l'échange | r_holo
diaphragme de la respiration | r_holo
côtes de la protection | r_holo
sternum de la cage | r_holo
vertèbre de la colonne | r_holo
disque de l'amortissement | r_holo
moelle de la production | r_holo
cartilage de la souplesse | r_holo
tendon de la connexion | r_holo
ligament de la stabilité | r_holo
capsule de la protection | r_holo
membrane de la séparation | r_holo
cytoplasme de la vie | r_holo
noyau de la cellule | r_holo
mitochondrie de l'énergie | r_holo
ribosome de la synthèse | r_holo
appareil de Golgi de la sécrétion | r_holo
réticulum de la production | r_holo
lysosome de la digestion | r_holo
vacuole du stockage | r_holo
chloroplaste de la photosynthèse | r_holo
paroi de la protection | r_holo
flagelle de la mobilité | r_holo
cil de la protection | r_holo
poil de la sensation | r_holo
cheveu de la tête | r_holo
ongle de la protection | r_holo
plume de l'oiseau | r_holo
écaille de la protection | r_holo
carapace de la tortue | r_holo
coquille de la protection | r_holo
corne de la défense | r_holo
sabot de la marche | r_holo
griffe de la chasse | r_holo
crocs de la morsure | r_holo
défense de la protection | r_holo
antenne de la communication | r_holo
aile du vol | r_holo
patte de la marche | r_holo
abdomen de la digestion | r_holo
thorax de la protection | r_holo
tête de la pensée | r_holo
mandibule de la mastication | r_holo
dard de la défense | r_holo
trompe de l'alimentation | r_holo
œil de la vision | r_holo
aile de la liberté | r_holo
bec de l'alimentation | r_holo
serre de la chasse | r_holo
plume de la parade | r_holo
crête de la reconnaissance | r_holo
barbillon de la détection | r_holo
nageoire de la propulsion | r_holo
ouïe de l'audition | r_holo
branchies de la respiration | r_holo
écailles de la protection | r_holo
crochet de l'injection | r_holo
ventouse de la fixation | r_holo
tentacule de la capture | r_holo
coquille de la filtration | r_holo
perle de la beauté | r_holo
carapace de la mue | r_holo
pince de la défense | r_holo
antenne de la détection | r_holo
pattes de la marche | r_holo
queue de l'équilibre | r_holo
dard de la défense | r_holo
toile de la chasse | r_holo
fil de la construction | r_holo
cocon de la métamorphose | r_holo
chrysalide de la transformation | r_holo
larve de la croissance | r_holo
nymphe de la maturation | r_holo
œuf de la reproduction | r_holo
coquille de la protection | r_holo
jaune de la nutrition | r_holo
blanc de la protection | r_holo
chalaze de la fixation | r_holo
germes de la vie | r_holo
cotylédon de la nutrition | r_holo
radicule de la racine | r_holo
tégument de la protection | r_holo
albumen de la réserve | r_holo
embryon de la vie | r_holo
bourgeon de la croissance | r_holo
méristème de la croissance | r_holo
phloème de la sève | r_holo
xylème de l'eau | r_holo
cambium de la croissance | r_holo
épiderme de la protection | r_holo
stomate de la respiration | r_holo
chlorophylle de la photosynthèse | r_holo
parenchyme de la fonction | r_holo
vaisseau du transport | r_holo
poil de l'absorption | r_holo
nodule de la fixation | r_holo
rhizome de la reproduction | r_holo
stolon de la propagation | r_holo
bulbe de la réserve | r_holo
tubercule de la réserve | r_holo
rhizoïde de la fixation | r_holo
thalle de la structure | r_holo
spore de la reproduction | r_holo
mycélium de la nutrition | r_holo
chapeau de la sporulation | r_holo
lamelle de la sporulation | r_holo
pied de la structure | r_holo
anneau de la protection | r_holo
volve de la protection | r_holo
branche d'un arbre | r_holo
racine d'une plante | r_holo
feuille d'un chêne | r_holo
fleur d'un jardin | r_holo
pétale d'une rose | r_holo
tige d'une fleur | r_holo
tronc d'un arbre | r_holo
écorce d'un bouleau | r_holo
sève d'un érable | r_holo
fruit d'un pommier | r_holo
graine d'un tournesol | r_holo
bulbe d'une tulipe | r_holo
épine d'un cactus | r_holo
mousse d'une forêt | r_holo
lichen d'un rocher | r_holo
champignon d'un bois | r_holo
algue d'une mer | r_holo
corail d'un récif | r_holo
anémone d'une mer | r_holo
éponge d'un océan | r_holo
tête d'un corps | r_holo
cou d'un humain | r_holo
épaule d'un squelette | r_holo
bras d'une personne | r_holo
avant-bras d'un membre | r_holo
coude d'une articulation | r_holo
poignet d'une main | r_holo
main d'un bras | r_holo
doigt d'une main | r_holo
ongle d'un doigt | r_holo
poitrine d'un torse | r_holo
ventre d'un abdomen | r_holo
dos d'un corps | r_holo
hanche d'un bassin | r_holo
jambe d'un corps | r_holo
cuisse d'un membre | r_holo
genou d'une jambe | r_holo
mollet d'un membre | r_holo
cheville d'un pied | r_holo
pied d'une jambe | r_holo
orteil d'un pied | r_holo
cerveau d'un crâne | r_holo
œil d'un visage | r_holo
oreille d'une tête | r_holo
nez d'une face | r_holo
bouche d'un visage | r_holo
dent d'une mâchoire | r_holo
langue d'une bouche | r_holo
gorge d'un cou | r_holo
cœur d'une poitrine | r_holo
poumon d'un thorax | r_holo
estomac d'un abdomen | r_holo
foie d'un corps | r_holo
rein d'un système | r_holo
peau d'un corps | r_holo
os d'un squelette | r_holo
muscle d'un membre | r_holo
nerf d'un système | r_holo
veine d'une circulation | r_holo
artère d'un cœur | r_holo
sang d'un organisme | r_holo
cellule d'un tissu | r_holo
chromosome d'un noyau | r_holo
ADN d'une cellule | r_holo
gène d'un chromosome | r_holo
protéine d'une cellule | r_holo
enzyme d'un métabolisme | r_holo
hormone d'un système | r_holo
neurone d'un cerveau | r_holo
synapse d'un neurone | r_holo
axone d'une cellule | r_holo
dendrite d'un neurone | r_holo
rétine d'un œil | r_holo
cornée d'un globe | r_holo
