ouverture de la porte | r_processus>patient
fermeture de la fenêtre | r_processus>patient
cassure du verre | r_processus>patient
rupture du câble | r_processus>patient
bris de la vitre | r_processus>patient
coupure du fil | r_processus>patient
éclatement du ballon | r_processus>patient
explosion du moteur | r_processus>patient
déchirure du tissu | r_processus>patient
usure de la roue | r_processus>patient
corrosion du métal | r_processus>patient
fusion du métal | r_processus>patient
oxydation du fer | r_processus>patient
mouillage du papier | r_processus>patient
chauffage de l’eau | r_processus>patient
refroidissement de l’air | r_processus>patient
évaporation de l’eau | r_processus>patient
condensation de la vapeur | r_processus>patient
cristallisation du sel | r_processus>patient
ébullition du liquide | r_processus>patient
mouvement du levier | r_processus>patient
rotation de la roue | r_processus>patient
vibration du moteur | r_processus>patient
oscillation du pendule | r_processus>patient
chute de la pierre | r_processus>patient
déplacement du véhicule | r_processus>patient
arrêt du train | r_processus>patient
démarrage du moteur | r_processus>patient
atterrissage de l’avion | r_processus>patient
décollage de l’avion | r_processus>patient
freinage du camion | r_processus>patient
accélération de la voiture | r_processus>patient
ralentissement du bus | r_processus>patient
arrêt de la machine | r_processus>patient
activation du système | r_processus>patient
désactivation du dispositif | r_processus>patient
mise en marche du moteur | r_processus>patient
allumage de la lampe | r_processus>patient
extinction de la lumière | r_processus>patient
allumage du feu | r_processus>patient
éclatement du pneu | r_processus>patient
percement du mur | r_processus>patient
creusement du trou | r_processus>patient
remplissage du réservoir | r_processus>patient
vidage de la bouteille | r_processus>patient
déplacement du meuble | r_processus>patient
transport du colis | r_processus>patient
déchargement du camion | r_processus>patient
chargement de la voiture | r_processus>patient
lavage du linge | r_processus>patient
nettoyage de la table | r_processus>patient
essuyage du verre | r_processus>patient
balayage du sol | r_processus>patient
repassage de la chemise | r_processus>patient
pliage de la serviette | r_processus>patient
découpage du papier | r_processus>patient
collage de l’affiche | r_processus>patient
peinture du mur | r_processus>patient
vernissage du meuble | r_processus>patient
décoration de la salle | r_processus>patient
aménagement du bureau | r_processus>patient
rénovation de la maison | r_processus>patient
construction du bâtiment | r_processus>patient
démolition du mur | r_processus>patient
réparation de la machine | r_processus>patient
entretien du jardin | r_processus>patient
tonte du gazon | r_processus>patient
arrosage des plantes | r_processus>patient
taille de la haie | r_processus>patient
nettoyage du bassin | r_processus>patient
vidange du réservoir | r_processus>patient
remplissage du seau | r_processus>patient
mélange du ciment | r_processus>patient
application de la peinture | r_processus>patient
fixation du cadre | r_processus>patient
assemblage du meuble | r_processus>patient
désassemblage du moteur | r_processus>patient
remontage de la montre | r_processus>patient
lubrification du mécanisme | r_processus>patient
graissage de la chaîne | r_processus>patient
entretien de la bicyclette | r_processus>patient
révision du moteur | r_processus>patient
remplacement du filtre | r_processus>patient
nettoyage du carburateur | r_processus>patient
vidange de l’huile | r_processus>patient
changement de la roue | r_processus>patient
remontage de la roue | r_processus>patient
démontage du pneu | r_processus>patient
installation du logiciel | r_processus>patient
désinstallation du programme | r_processus>patient
mise à jour du système | r_processus>patient
réinitialisation de l’appareil | r_processus>patient
sauvegarde du fichier | r_processus>patient
suppression du document | r_processus>patient
ouverture du dossier | r_processus>patient
fermeture du fichier | r_processus>patient
compression du dossier | r_processus>patient
transfert du message | r_processus>patient
envoi du courriel | r_processus>patient
réception du courrier | r_processus>patient
affichage de la page | r_processus>patient
chargement du site | r_processus>patient
téléchargement du fichier | r_processus>patient
impression du document | r_processus>patient
numérisation de la photo | r_processus>patient
copie du texte | r_processus>patient
collage du texte | r_processus>patient
effacement du tableau | r_processus>patient
écriture de la phrase | r_processus>patient
lecture du livre | r_processus>patient
traduction du texte | r_processus>patient
correction de la faute | r_processus>patient
analyse du mot | r_processus>patient
extraction du mot | r_processus>patient
suppression du mot | r_processus>patient
ajout du mot | r_processus>patient
remplacement du mot | r_processus>patient
modification du texte | r_processus>patient
édition du document | r_processus>patient
impression de la page | r_processus>patient
publication du livre | r_processus>patient
diffusion du message | r_processus>patient
enregistrement du son | r_processus>patient
lecture du disque | r_processus>patient
gravure du disque | r_processus>patient
effacement de la piste | r_processus>patient
répétition du morceau | r_processus>patient
interprétation de la chanson | r_processus>patient
diffusion du film | r_processus>patient
projection du film | r_processus>patient
montage du film | r_processus>patient
tournage du film | r_processus>patient
prise du plan | r_processus>patient
capture de l’image | r_processus>patient
retouche de la photo | r_processus>patient
correction de la couleur | r_processus>patient
ajustement du contraste | r_processus>patient
réduction du bruit | r_processus>patient
amélioration de la netteté | r_processus>patient
stabilisation de l’image | r_processus>patient
exportation du fichier | r_processus>patient
sauvegarde du projet | r_processus>patient
fermeture du programme | r_processus>patient
arrêt du serveur | r_processus>patient
redémarrage du système | r_processus>patient
activation du service | r_processus>patient
désactivation du service | r_processus>patient
connexion du câble | r_processus>patient
déconnexion du câble | r_processus>patient
transmission du signal | r_processus>patient
réception du signal | r_processus>patient
interruption du courant | r_processus>patient
passage du courant | r_processus>patient
augmentation de la tension | r_processus>patient
diminution de la température | r_processus>patient
variation de la pression | r_processus>patient
circulation de l’air | r_processus>patient
filtration de l’eau | r_processus>patient
purification du liquide | r_processus>patient
désinfection de la surface | r_processus>patient
stérilisation du matériel | r_processus>patient
contamination de l’eau | r_processus>patient
pollution de l’air | r_processus>patient
nettoyage de la rivière | r_processus>patient
épuration de l’eau | r_processus>patient
traitement du déchet | r_processus>patient
recyclage du plastique | r_processus>patient
compostage du déchet | r_processus>patient
incinération du déchet | r_processus>patient
collecte de l’ordure | r_processus>patient
tri du papier | r_processus>patient
emballage du produit | r_processus>patient
ouverture du colis | r_processus>patient
livraison du paquet | r_processus>patient
réception de la commande | r_processus>patient
distribution du courrier | r_processus>patient
transport du passager | r_processus>patient
déplacement du train | r_processus>patient
stationnement de la voiture | r_processus>patient
arrêt du bus | r_processus>patient
ouverture de porte | r_processus>patient
fermeture de fenêtre | r_processus>patient
cuisson de viande | r_processus>patient
lavage de linge | r_processus>patient
réparation de voiture | r_processus>patient
nettoyage de sol | r_processus>patient
construction de maison | r_processus>patient
destruction de bâtiment | r_processus>patient
plantation de arbre | r_processus>patient
récolte de fruit | r_processus>patient
coupe de cheveu | r_processus>patient
peinture de mur | r_processus>patient
lecture de livre | r_processus>patient
écriture de lettre | r_processus>patient
signature de contrat | r_processus>patient
validation de document | r_processus>patient
archivage de dossier | r_processus>patient
impression de texte | r_processus>patient
numérisation de photo | r_processus>patient
suppression de fichier | r_processus>patient
installation de logiciel | r_processus>patient
mise à jour de système | r_processus>patient
sauvegarde de donnée | r_processus>patient
restauration de base | r_processus>patient
chiffrement de message | r_processus>patient
déchiffrement de code | r_processus>patient
compression de archive | r_processus>patient
décompression de paquet | r_processus>patient
téléchargement de application | r_processus>patient
envoi de courriel | r_processus>patient
réception de colis | r_processus>patient
livraison de marchandise | r_processus>patient
expédition de paquet | r_processus>patient
transport de bagage | r_processus>patient
chargement de camion | r_processus>patient
déchargement de container | r_processus>patient
stockage de produit | r_processus>patient
rangement de outil | r_processus>patient
classement de papier | r_processus>patient
tri de déchet | r_processus>patient
recyclage de plastique | r_processus>patient
incinération de ordure | r_processus>patient
compostage de reste | r_processus>patient
broyage de branche | r_processus>patient
découpage de planche | r_processus>patient
sciage de bois | r_processus>patient
ponçage de surface | r_processus>patient
vernissage de meuble | r_processus>patient
polissage de métal | r_processus>patient
soudure de pièce | r_processus>patient
assemblage de composant | r_processus>patient
montage de structure | r_processus>patient
démontage de appareil | r_processus>patient
désassemblage de moteur | r_processus>patient
révision de machine | r_processus>patient
entretien de équipement | r_processus>patient
graissage de mécanisme | r_processus>patient
huilage de chaîne | r_processus>patient
gonflage de pneu | r_processus>patient
dégonflage de ballon | r_processus>patient
remplissage de réservoir | r_processus>patient
vidange de cuve | r_processus>patient
drainage de terrain | r_processus>patient
irrigation de champ | r_processus>patient
arrosage de plante | r_processus>patient
taille de haie | r_processus>patient
tonte de pelouse | r_processus>patient
désherbage de jardin | r_processus>patient
bêchage de terre | r_processus>patient
labourage de sol | r_processus>patient
hersage de parcelle | r_processus>patient
semis de graine | r_processus>patient
repiquage de plant | r_processus>patient
greffe de branche | r_processus>patient
élagage de arbre | r_processus>patient
abattage de tronc | r_processus>patient
débroussaillage de zone | r_processus>patient
défrichement de terrain | r_processus>patient
nivellement de surface | r_processus>patient
terrassement de site | r_processus>patient
ouverture du robinet | r_processus>patient
fermeture du volet | r_processus>patient
allumage du four | r_processus>patient
extinction du feu | r_processus>patient
réglage du thermostat | r_processus>patient
démarrage du moteur | r_processus>patient
arrêt du véhicule | r_processus>patient
freinage du train | r_processus>patient
accélération du bolide | r_processus>patient
ralentissement du convoi | r_processus>patient
stationnement du camion | r_processus>patient
remorquage du véhicule | r_processus>patient
lavage du linge | r_processus>patient
séchage du tissu | r_processus>patient
repassage du vêtement | r_processus>patient
pliage du drap | r_processus>patient
racommodage du pantalon | r_processus>patient
rapiéçage du manteau | r_processus>patient
détachage du chemisier | r_processus>patient
blanchiment du linge | r_processus>patient
teinture du textile | r_processus>patient
décoloration du tissu | r_processus>patient
essorage du linge | r_processus>patient
rinçage du vêtement | r_processus>patient
trempage du linge | r_processus>patient
brossage du manteau | r_processus>patient
dépoussiérage du meuble | r_processus>patient
cirage du parquet | r_processus>patient
balayage du sol | r_processus>patient
lavage du carrelage | r_processus>patient
récurage du plan | r_processus>patient
débouchage du évier | r_processus>patient
détartrage du robinet | r_processus>patient
désinfection du sanitaire | r_processus>patient
javellisation du mur | r_processus>patient
aération du local | r_processus>patient
chauffage du logement | r_processus>patient
refroidissement du bâtiment | r_processus>patient
climatisation du bureau | r_processus>patient
ventilation du grenier | r_processus>patient
isolation du toit | r_processus>patient
étanchéification du mur | r_processus>patient
crépissage du façade | r_processus>patient
ravalement du immeuble | r_processus>patient
rejointoiement du mur | r_processus>patient
plâtrage du plafond | r_processus>patient
carrelage du sol | r_processus>patient
dallage du terrain | r_processus>patient
pavage du chemin | r_processus>patient
goudronnage du route | r_processus>patient
bétonnage du sol | r_processus>patient
coulage du béton | r_processus>patient
coffrage du mur | r_processus>patient
ferraillage du dalle | r_processus>patient
armature du poteau | r_processus>patient
scellement du portail | r_processus>patient
fixation du panneau | r_processus>patient
clouage du planche | r_processus>patient
vissage du cadre | r_processus>patient
collage du papier | r_processus>patient
agrafage du document | r_processus>patient
perforation du feuille | r_processus>patient
découpage du carton | r_processus>patient
pliage du papier | r_processus>patient
froissage du tissu | r_processus>patient
défroissage du linge | r_processus>patient
aplatissement du carton | r_processus>patient
roulage du tapis | r_processus>patient
déroulement du câble | r_processus>patient
enroulement du fil | r_processus>patient
