minute d'attente | r_quantificateur
heure de travail | r_quantificateur
jour de repos | r_quantificateur
semaine de vacances | r_quantificateur
mois de formation | r_quantificateur
année d'expérience | r_quantificateur
seconde de réflexion | r_quantificateur
instant de bonheur | r_quantificateur
moment de silence | r_quantificateur
période d'essai | r_quantificateur
trimestre de croissance | r_quantificateur
décennie de paix | r_quantificateur
siècle d'histoire | r_quantificateur
millénaire d'évolution | r_quantificateur
époque de prospérité | r_quantificateur
ère de progrès | r_quantificateur
gramme de sel | r_quantificateur
kilogramme de farine | r_quantificateur
tonne de charbon | r_quantificateur
once de précaution | r_quantificateur
livre de beurre | r_quantificateur
quintal de blé | r_quantificateur
milligramme de substance | r_quantificateur
carat de diamant | r_quantificateur
litre d'eau | r_quantificateur
millilitre de sirop | r_quantificateur
décilitre de crème | r_quantificateur
centilitre d'alcool | r_quantificateur
hectolitre de vin | r_quantificateur
gallon d'essence | r_quantificateur
baril de pétrole | r_quantificateur
pinte de bière | r_quantificateur
verre de lait | r_quantificateur
tasse de café | r_quantificateur
cuillère de sucre | r_quantificateur
goutte de pluie | r_quantificateur
dose de médicament | r_quantificateur
mètre de tissu | r_quantificateur
kilomètre de route | r_quantificateur
centimètre de ruban | r_quantificateur
millimètre de précision | r_quantificateur
pouce de terrain | r_quantificateur
pied de profondeur | r_quantificateur
yard de câble | r_quantificateur
mile de distance | r_quantificateur
lieue de voyage | r_quantificateur
coudée de longueur | r_quantificateur
brasse de cordage | r_quantificateur
degré de température | r_quantificateur
grade de pente | r_quantificateur
radian d'angle | r_quantificateur
pourcentage de réussite | r_quantificateur
fraction de total | r_quantificateur
part de marché | r_quantificateur
portion de gâteau | r_quantificateur
tranche de pain | r_quantificateur
morceau de fromage | r_quantificateur
bout de ficelle | r_quantificateur
bouchée de nourriture | r_quantificateur
gorgée de boisson | r_quantificateur
pincée de sel | r_quantificateur
poignée de riz | r_quantificateur
brassée de fleurs | r_quantificateur
tas de sable | r_quantificateur
pile de livres | r_quantificateur
amas de pierres | r_quantificateur
paquet de cigarettes | r_quantificateur
boîte de conserve | r_quantificateur
carton de déménagement | r_quantificateur
caisse de pommes | r_quantificateur
ballot de foin | r_quantificateur
botte de radis | r_quantificateur
bouquet de roses | r_quantificateur
gerbe de blé | r_quantificateur
fagot de bois | r_quantificateur
bûche de chauffage | r_quantificateur
planche de chêne | r_quantificateur
poutre de soutien | r_quantificateur
brique de construction | r_quantificateur
tuile de toiture | r_quantificateur
carreau de céramique | r_quantificateur
dalle de marbre | r_quantificateur
pavé de rue | r_quantificateur
lingot d'or | r_quantificateur
barre de fer | r_quantificateur
tige de métal | r_quantificateur
fil de cuivre | r_quantificateur
câble d'acier | r_quantificateur
corde de chanvre | r_quantificateur
ficelle de lin | r_quantificateur
ruban de soie | r_quantificateur
bande de tissu | r_quantificateur
rouleau de papier | r_quantificateur
feuille de carton | r_quantificateur
page de journal | r_quantificateur
ligne de texte | r_quantificateur
mot de passe | r_quantificateur
lettre d'alphabet | r_quantificateur
chiffre de code | r_quantificateur
numéro de série | r_quantificateur
quantité de matière | r_quantificateur
volume de liquide | r_quantificateur
masse de substance | r_quantificateur
poids de colis | r_quantificateur
charge de camion | r_quantificateur
fardeau de responsabilité | r_quantificateur
minute du chronomètre | r_quantificateur
heure du réveil | r_quantificateur
jour du calendrier | r_quantificateur
semaine du planning | r_quantificateur
mois du trimestre | r_quantificateur
année du siècle | r_quantificateur
seconde du compte | r_quantificateur
instant du moment | r_quantificateur
période du cycle | r_quantificateur
phase du projet | r_quantificateur
étape du parcours | r_quantificateur
stade du développement | r_quantificateur
niveau d'expertise | r_quantificateur
degré d'urgence | r_quantificateur
taux de croissance | r_quantificateur
ratio de conversion | r_quantificateur
coefficient de performance | r_quantificateur
indice de satisfaction | r_quantificateur
score de réussite | r_quantificateur
note d'examen | r_quantificateur
point de bonus | r_quantificateur
unité de mesure | r_quantificateur
multiple de base | r_quantificateur
diviseur de nombre | r_quantificateur
facteur de multiplication | r_quantificateur
puissance de calcul | r_quantificateur
racine d'équation | r_quantificateur
somme de total | r_quantificateur
différence de valeur | r_quantificateur
produit de facteurs | r_quantificateur
quotient de division | r_quantificateur
reste de partage | r_quantificateur
