relid,relation
0,r_associated
1,r_raff_sem
2,r_raff_morpho
3,r_domain
4,r_pos
5,r_syn
6,r_isa
7,r_anto
8,r_hypo
9,r_has_part
10,r_holo
11,r_locution
12,r_flpot
13,r_agent
14,r_patient
15,r_lieu
16,r_instr
17,r_carac
18,r_data
19,r_lemma
20,r_has_magn
21,r_has_antimagn
22,r_family
23,r_carac
24,r_agent
25,r_instr
26,r_patient
27,r_domain
28,r_lieu
29,r_chunk_pred
30,r_lieu_action
31,r_action_lieu
32,r_sentiment
33,r_error
34,r_manner
35,r_meaning
36,r_infopot
37,r_telic_role
38,r_agentif_role
39,r_verbe
40,r_action
41,r_has_conseq
42,r_has_causatif
43,r_adj
44,r_verbe
45,r_chunk_sujet
46,r_chunk_objet
47,r_chunk_loc
48,r_chunk_instr
49,r_time
50,r_object
51,r_mater
52,r_successeur
53,r_make
54,r_product_of
55,r_against
56,r_against
57,r_implication
58,r_quantificateur
59,r_masc
60,r_fem
61,r_equiv
62,r_manner
63,r_agentive_implication
64,r_has_instance
65,r_verb_real
66,r_chunk_head
67,r_similar
68,r_set
69,r_item
70,r_processus
71,r_variante
72,r_syn_strict
73,r_is_smaller_than
74,r_is_bigger_than
75,r_accomp
76,r_processus
77,r_verb_ppas
78,r_cohypo
79,r_verb_ppre
80,r_processus
81,r_pref_form
82,r_interact_with
83,r_alias
84,r_has_euphemisme
85,r_der_morpho
86,r_has_auteur
87,r_has_personnage
88,r_can_eat
89,r_has_actors
90,r_deplac_mode
91,r_has_interpret
92,r_has_color
93,r_has_cible
94,r_has_symptomes
95,r_has_predecesseur
96,r_has_diagnostic
97,r_has_predecesseur
98,r_has_successeur
99,r_has_social_tie_with
100,r_tributary
101,r_sentiment
102,r_linked
103,r_foncteur
104,r_comparison
105,r_but
106,r_but
107,r_own
108,r_own
109,r_verb_aux
110,r_predecesseur
111,r_successeur
112,r_isa
113,r_incompatible
114,r_node2relnode
115,r_require
116,r_is_instance_of
117,r_is_concerned_by
118,r_symptomes
119,r_units
120,r_promote
121,r_circumstances
122,r_has_auteur
123,r_processus
124,r_processus
125,r_processus
126,r_node2relnode
127,r_carac_nominale
128,r_has_topic
129,r_can_become
130,r_pourvoyeur
131,r_compl_agent
132,r_has_beneficiaire
133,r_descend_de
134,r_domain_subst
135,r_has_prop
136,r_activ_voice
137,r_make_use_of
138,r_is_used_by
139,r_adj
140,r_nomprop
141,r_adj
142,r_adv
143,r_homophone
144,r_potential_confusion_with
145,r_concerning
146,r_adj
147,r_nom
148,r_opinion_of
149,r_has_value
150,r_has_value
151,r_has_value
152,r_sing_form
153,r_lieu
154,r_depict
155,r_has_prop
156,r_quantificateur
157,r_promote
158,r_context
159,r_pos_seq
160,r_translation
161,r_link
162,r_cooccurrence
163,r_aki
164,r_wiki
165,r_annotation_context
166,r_annotation_exception
167,r_annotation
168,r_inhib
169,r_prev
170,r_succ
171,r_termgroup
172,r_raff_sem
173,r_learning_model
