cuillère de bois | r_object_matière
bague de or | r_object_matière
statue de marbre | r_object_matière
table de chêne | r_object_matière
collier de perle | r_object_matière
mur de brique | r_object_matière
sac de cuir | r_object_matière
verre de cristal | r_object_matière
corde de chanvre | r_object_matière
tissu de soie | r_object_matière
bouteille de verre | r_object_matière
sol de pierre | r_object_matière
toit de tuile | r_object_matière
pont de fer | r_object_matière
bâtiment de béton | r_object_matière
bague de argent | r_object_matière
sculpture de bronze | r_object_matière
ustensile de plastique | r_object_matière
poutre de acier | r_object_matière
canne de bambou | r_object_matière
panier de osier | r_object_matière
tapis de laine | r_object_matière
couverture de coton | r_object_matière
vêtement de lin | r_object_matière
fil de cuivre | r_object_matière
câble de acier | r_object_matière
récipient de terre | r_object_matière
jouet de bois | r_object_matière
instrument de métal | r_object_matière
bâtiment de verre | r_object_matière
route de goudron | r_object_matière
toile de lin | r_object_matière
brosse de poil | r_object_matière
peigne de corne | r_object_matière
bouteille de plastique | r_object_matière
tuile de argile | r_object_matière
brique de terre | r_object_matière
parquet de bois | r_object_matière
carrelage de céramique | r_object_matière
comptoir de granit | r_object_matière
écharpe de cachemire | r_object_matière
chaussette de laine | r_object_matière
ceinture de cuir | r_object_matière
bague de platine | r_object_matière
collier de diamant | r_object_matière
boucle de or | r_object_matière
chaîne de argent | r_object_matière
bracelet de perle | r_object_matière
broche de émail | r_object_matière
pendentif de jade | r_object_matière
bouchon de liège | r_object_matière
manche de bois | r_object_matière
lame de acier | r_object_matière
poignée de ivoire | r_object_matière
cadre de bois | r_object_matière
miroir de verre | r_object_matière
vitre de verre | r_object_matière
vaisselle de porcelaine | r_object_matière
couvert de argent | r_object_matière
bol de céramique | r_object_matière
tasse de faïence | r_object_matière
théière de fonte | r_object_matière
casserole de aluminium | r_object_matière
poêle de fer | r_object_matière
couvercle de verre | r_object_matière
plateau de bois | r_object_matière
saladier de inox | r_object_matière
passoire de métal | r_object_matière
râpe de acier | r_object_matière
couteau de céramique | r_object_matière
banc de pierre | r_object_matière
barrière de fer | r_object_matière
grille de métal | r_object_matière
clôture de bois | r_object_matière
poteau de béton | r_object_matière
dalle de pierre | r_object_matière
escalier de marbre | r_object_matière
rampe de fer | r_object_matière
balustrade de bronze | r_object_matière
fontaine de pierre | r_object_matière
bassin de ciment | r_object_matière
statue de plâtre | r_object_matière
monument de granit | r_object_matière
colonne de marbre | r_object_matière
chapiteau de pierre | r_object_matière
voile de coton | r_object_matière
corde de nylon | r_object_matière
ancre de fer | r_object_matière
hélice de bronze | r_object_matière
coque de acier | r_object_matière
mât de aluminium | r_object_matière
voilure de polyester | r_object_matière
gouvernail de bois | r_object_matière
radeau de bambou | r_object_matière
canot de caoutchouc | r_object_matière
kayak de plastique | r_object_matière
planche de bois | r_object_matière
ski de fibre | r_object_matière
raquette de graphite | r_object_matière
ballon de cuir | r_object_matière
ballon de plastique | r_object_matière
filet de nylon | r_object_matière
cage de fer | r_object_matière
but de métal | r_object_matière
poteau de bois | r_object_matière
barre de cuivre | r_object_matière
tube de plastique | r_object_matière
rondelle de caoutchouc | r_object_matière
ressort de acier | r_object_matière
vis de métal | r_object_matière
écrou de laiton | r_object_matière
boulon de fer | r_object_matière
clou de cuivre | r_object_matière
goupille de acier | r_object_matière
axe de métal | r_object_matière
pignon de bronze | r_object_matière
engrenage de plastique | r_object_matière
courroie de caoutchouc | r_object_matière
chaîne de acier | r_object_matière
câble de nylon | r_object_matière
poulie de aluminium | r_object_matière
palier de bronze | r_object_matière
joint de caoutchouc | r_object_matière
valve de laiton | r_object_matière
piston de acier | r_object_matière
cylindre de métal | r_object_matière
réservoir de plastique | r_object_matière
conduite de cuivre | r_object_matière
tuyau de PVC | r_object_matière
raccord de laiton | r_object_matière
robinet de chrome | r_object_matière
pompe de fonte | r_object_matière
compresseur de acier | r_object_matière
moteur de aluminium | r_object_matière
bobine de cuivre | r_object_matière
aimant de néodyme | r_object_matière
circuit de or | r_object_matière
puce de silicium | r_object_matière
carte de fibre | r_object_matière
connecteur de or | r_object_matière
filament de tungstène | r_object_matière
ampoule de verre | r_object_matière
lentille de plastique | r_object_matière
miroir de verre | r_object_matière
prisme de cristal | r_object_matière
capteur de silicium | r_object_matière
écran de verre | r_object_matière
cadran de nacre | r_object_matière
aiguille de acier | r_object_matière
ressort de acier | r_object_matière
mécanisme de laiton | r_object_matière
pendule de laiton | r_object_matière
bracelet de cuir | r_object_matière
coque de plastique | r_object_matière
vitre de saphir | r_object_matière
couronne de acier | r_object_matière
fond de titane | r_object_matière
batterie de lithium | r_object_matière
circuit de cuivre | r_object_matière
radiateur de aluminium | r_object_matière
ventilateur de plastique | r_object_matière
carte de circuit | r_object_matière
barrette de mémoire | r_object_matière
processeur de silicium | r_object_matière
disque de verre | r_object_matière
lecteur de laser | r_object_matière
clavier de plastique | r_object_matière
souris de plastique | r_object_matière
écran de LCD | r_object_matière
enceinte de bois | r_object_matière
microphone de métal | r_object_matière
casque de plastique | r_object_matière
écouteur de plastique | r_object_matière
chargeur de plastique | r_object_matière
câble de cuivre | r_object_matière
prise de laiton | r_object_matière
interrupteur de céramique | r_object_matière
fusible de argent | r_object_matière
transformateur de fer | r_object_matière
condensateur de aluminium | r_object_matière
résistance de carbone | r_object_matière
transistor de silicium | r_object_matière
diode de germanium | r_object_matière
circuit de or | r_object_matière
plaque de cuivre | r_object_matière
radiateur de cuivre | r_object_matière
