travail de l'ouvrier | r_processus>agent
écriture de l'auteur | r_processus>agent
lecture de l'élève | r_processus>agent
peinture de l'artiste | r_processus>agent
sculpture du sculpteur | r_processus>agent
construction du maçon | r_processus>agent
réparation du technicien | r_processus>agent
nettoyage de la femme de ménage | r_processus>agent
cuisine du chef | r_processus>agent
jardinage du jardinier | r_processus>agent
enseignement du professeur | r_processus>agent
apprentissage de l'étudiant | r_processus>agent
recherche du scientifique | r_processus>agent
découverte de l'explorateur | r_processus>agent
invention de l'inventeur | r_processus>agent
création de l'artiste | r_processus>agent
design du designer | r_processus>agent
programmation du développeur | r_processus>agent
analyse de l'expert | r_processus>agent
diagnostic du médecin | r_processus>agent
soin de l'infirmier | r_processus>agent
opération du chirurgien | r_processus>agent
conduite du chauffeur | r_processus>agent
pilotage du pilote | r_processus>agent
navigation du marin | r_processus>agent
direction du manager | r_processus>agent
gestion de l'administrateur | r_processus>agent
vente du commercial | r_processus>agent
achat de l'acheteur | r_processus>agent
négociation du négociateur | r_processus>agent
communication du communicateur | r_processus>agent
présentation de l'orateur | r_processus>agent
formation du formateur | r_processus>agent
coaching du coach | r_processus>agent
conseil du consultant | r_processus>agent
audit de l'auditeur | r_processus>agent
contrôle du contrôleur | r_processus>agent
surveillance du gardien | r_processus>agent
sécurité de l'agent de sécurité | r_processus>agent
défense de l'avocat | r_processus>agent
accusation du procureur | r_processus>agent
jugement du juge | r_processus>agent
exécution du bourreau | r_processus>agent
arrestation du policier | r_processus>agent
enquête du détective | r_processus>agent
protection du garde du corps | r_processus>agent
sauvetage du sauveteur | r_processus>agent
secours du secouriste | r_processus>agent
guérison du guérisseur | r_processus>agent
méditation du méditant | r_processus>agent
prière du croyant | r_processus>agent
prédication du prédicateur | r_processus>agent
célébration du célébrant | r_processus>agent
sacrifice du sacrificateur | r_processus>agent
bénédiction du prêtre | r_processus>agent
confession du pénitent | r_processus>agent
pèlerinage du pèlerin | r_processus>agent
évangélisation du missionnaire | r_processus>agent
prophétie du prophète | r_processus>agent
miracle du saint | r_processus>agent
exorcisme de l'exorciste | r_processus>agent
divination du devin | r_processus>agent
sorcellerie du sorcier | r_processus>agent
alchimie de l'alchimiste | r_processus>agent
médiumnité du médium | r_processus>agent
télépathie du télépathe | r_processus>agent
hypnose de l'hypnotiseur | r_processus>agent
magnétisme du magnétiseur | r_processus>agent
acupuncture de l'acupuncteur | r_processus>agent
ostéopathie de l'ostéopathe | r_processus>agent
homéopathie de l'homéopathe | r_processus>agent
naturopathie du naturopathe | r_processus>agent
phytothérapie du phytothérapeute | r_processus>agent
aromathérapie de l'aromathérapeute | r_processus>agent
réflexologie du réflexologue | r_processus>agent
shiatsu du praticien | r_processus>agent
yoga du yogi | r_processus>agent
méditation du méditant | r_processus>agent
taïchi du maître | r_processus>agent
danse du danseur | r_processus>agent
chant du chanteur | r_processus>agent
musique du musicien | r_processus>agent
composition du compositeur | r_processus>agent
improvisation de l'improvisateur | r_processus>agent
interprétation de l'interprète | r_processus>agent
orchestration de l'orchestrateur | r_processus>agent
direction du chef d'orchestre | r_processus>agent
enregistrement de l'ingénieur | r_processus>agent
mixage de l'ingénieur du son | r_processus>agent
montage du monteur | r_processus>agent
réalisation du réalisateur | r_processus>agent
scénario du scénariste | r_processus>agent
production du producteur | r_processus>agent
distribution du distributeur | r_processus>agent
projection du projectionniste | r_processus>agent
critique du critique d'art | r_processus>agent
analyse de l'analyste financier | r_processus>agent
recherche du chercheur | r_processus>agent
expérimentation du chercheur | r_processus>agent
observation de l'astronome | r_processus>agent
mesure du géomètre | r_processus>agent
calcul du comptable | r_processus>agent
modélisation de l'architecte | r_processus>agent
simulation de l'ingénieur | r_processus>agent
programmation du programmeur | r_processus>agent
codage du développeur | r_processus>agent
débogage du programmeur | r_processus>agent
test du testeur | r_processus>agent
intégration de l'intégrateur | r_processus>agent
déploiement du technicien | r_processus>agent
maintenance du technicien | r_processus>agent
support du technicien | r_processus>agent
assistance de l'assistant | r_processus>agent
conseil du conseiller | r_processus>agent
consultation du consultant | r_processus>agent
expertise de l'expert | r_processus>agent
audit de l'auditeur | r_processus>agent
inspection de l'inspecteur | r_processus>agent
certification du certificateur | r_processus>agent
accréditation de l'accréditeur | r_processus>agent
homologation de l'homologueur | r_processus>agent
agrément de l'agréateur | r_processus>agent
habilitation de l'agent | r_processus>agent
qualification de l'expert | r_processus>agent
sélection du recruteur | r_processus>agent
recrutement du recruteur | r_processus>agent
intégration du responsable | r_processus>agent
formation du formateur | r_processus>agent
développement du formateur | r_processus>agent
coaching du coach | r_processus>agent
mentorat du mentor | r_processus>agent
tutorat du tuteur | r_processus>agent
orientation du conseiller | r_processus>agent
bilan du conseiller | r_processus>agent
évaluation de l'évaluateur | r_processus>agent
valorisation de l'expert | r_processus>agent
reconversion du conseiller | r_processus>agent
mobilité du conseiller | r_processus>agent
évolution du conseiller | r_processus>agent
adaptation du formateur | r_processus>agent
innovation de l'innovateur | r_processus>agent
amélioration de l'ingénieur | r_processus>agent
optimisation de l'ingénieur | r_processus>agent
restructuration du consultant | r_processus>agent
réorganisation du manager | r_processus>agent
transformation du consultant | r_processus>agent
changement du manager | r_processus>agent
modernisation de l'ingénieur | r_processus>agent
numérisation du technicien | r_processus>agent
automatisation de l'ingénieur | r_processus>agent
robotisation de l'ingénieur | r_processus>agent
conception du concepteur | r_processus>agent
planification du planificateur | r_processus>agent
organisation de l'organisateur | r_processus>agent
coordination du coordinateur | r_processus>agent
orchestration du chef | r_processus>agent
gestion du gérant | r_processus>agent
administration de l'administrateur | r_processus>agent
direction du directeur | r_processus>agent
leadership du leader | r_processus>agent
management du manager | r_processus>agent
supervision du superviseur | r_processus>agent
contrôle du contrôleur | r_processus>agent
surveillance du gardien | r_processus>agent
vérification du vérificateur | r_processus>agent
validation du validateur | r_processus>agent
fabrication de l'ouvrier | r_processus>agent
assemblage de l'ouvrier | r_processus>agent
usinage de l'opérateur | r_processus>agent
forage du foreur | r_processus>agent
soudage du soudeur | r_processus>agent
meulage du meuleur | r_processus>agent
perçage du perceur | r_processus>agent
fraisage du fraiseur | r_processus>agent
tournage du tourneur | r_processus>agent
moulage du mouleur | r_processus>agent
coulage du couleur | r_processus>agent
estampage de l'estampeur | r_processus>agent
emboutissage de l'emboutisseur | r_processus>agent
tréfilage du tréfileur | r_processus>agent
laminage du lamineur | r_processus>agent
forgeage du forgeron | r_processus>agent
fonderie du fondeur | r_processus>agent
fabrication de l'artisan | r_processus>agent
artisanat de l'artisan | r_processus>agent
ébénisterie de l'ébéniste | r_processus>agent
menuiserie du menuisier | r_processus>agent
charpente du charpentier | r_processus>agent
maçonnerie du maçon | r_processus>agent
carrelage du carreleur | r_processus>agent
plâtrerie du plâtrier | r_processus>agent
peinture du peintre | r_processus>agent
électricité de l'électricien | r_processus>agent
plomberie du plombier | r_processus>agent
chauffage du chauffagiste | r_processus>agent
climatisation du climaticien | r_processus>agent
électronique de l'électronicien | r_processus>agent
mécanique du mécanicien | r_processus>agent
maintenance du technicien | r_processus>agent
dépannage du dépanneur | r_processus>agent
réparation du réparateur | r_processus>agent
installation de l'installateur | r_processus>agent
configuration du technicien | r_processus>agent
paramétrage du technicien | r_processus>agent
calibrage du technicien | r_processus>agent
étalonnage du technicien | r_processus>agent
réglage du technicien | r_processus>agent
ajustage de l'ajusteur | r_processus>agent
usinage de l'usineur | r_processus>agent
fabrication de l'opérateur | r_processus>agent
production de l'opérateur | r_processus>agent
contrôle du contrôleur | r_processus>agent
qualité du contrôleur | r_processus>agent
inspection de l'inspecteur | r_processus>agent
test du testeur | r_processus>agent
vérification du vérificateur | r_processus>agent
validation du validateur | r_processus>agent
certification du certificateur | r_processus>agent
homologation de l'homologueur | r_processus>agent
agrément de l'agréateur | r_processus>agent
accréditation de l'accréditeur | r_processus>agent
habilitation de l'agent | r_processus>agent
qualification de l'expert | r_processus>agent
sélection du sélectionneur | r_processus>agent
recrutement du recruteur | r_processus>agent
intégration du responsable | r_processus>agent
formation du formateur | r_processus>agent
développement du formateur | r_processus>agent
coaching du coach | r_processus>agent
mentorat du mentor | r_processus>agent
tutorat du tuteur | r_processus>agent
orientation du conseiller | r_processus>agent
bilan du conseiller | r_processus>agent
évaluation de l'évaluateur | r_processus>agent
valorisation de l'expert | r_processus>agent
reconversion du conseiller | r_processus>agent
mobilité du conseiller | r_processus>agent
évolution du conseiller | r_processus>agent
adaptation du formateur | r_processus>agent
innovation de l'innovateur | r_processus>agent
amélioration de l'ingénieur | r_processus>agent
optimisation de l'ingénieur | r_processus>agent
restructuration du consultant | r_processus>agent
réorganisation du manager | r_processus>agent
transformation du consultant | r_processus>agent
changement du manager | r_processus>agent
modernisation de l'ingénieur | r_processus>agent
numérisation du technicien | r_processus>agent
automatisation de l'ingénieur | r_processus>agent
robotisation de l'ingénieur | r_processus>agent
conception du concepteur | r_processus>agent
planification du planificateur | r_processus>agent
organisation de l'organisateur | r_processus>agent
coordination du coordinateur | r_processus>agent
